id,name,tags,is_featured,order,icon_image,parent_topic,hadith_urns
241,"Muslim Affairs","",0,1,"",239.0,"146390, 720040, 120810, 186570, 147560, 139290, 917200, 148450, 148400, 146050, 726500, 716670, 146980, 169180, 715500, 146410, 124050, 730320, 917700, 719250, 124820, 715420, 715960, 151290, 716921, 151400, 147300, 719700, 150540, 719620, 119720, 150360, 730600, 715410, 153880, 719570, 120800, 168800, 148020, 715950, 147910, 715496, 147110, 714820, 126750, 170640, 119690, 138610, 147310, 130131, 150260, 138690, 146560, 158450, 128420, 719880, 148380, 715810, 128610, 719300, 146660, 714361, 910790, 147880, 155600, 917160, 150440, 719511, 169370, 715350, 147500, 145930, 119840, 910890, 122860, 134800, 155610, 130250, 718220"
242,"Fiqh of the family","",0,1,"",239.0,"714170, 145270, 711000, 712330, 108731, 145190, 138490, 145300, 144940, 142640, 712060, 117731, 144120, 179100, 143030, 164890, 712170, 916990, 143460, 143000, 175970, 154920, 111690, 100560, 143850, 143880, 730600, 162790, 711050, 143710, 145120, 144750, 918480, 142650, 143130, 144570, 144440, 142760, 712010, 157130, 711900, 145320, 711660, 711910, 101410, 711440, 179090, 142740, 143760, 173940, 143980, 143540, 143750, 143180, 160770, 145390, 120370, 144000, 172160, 103730, 712030, 143250, 173920, 720530"
243,"Islamic society","",0,1,"",239.0,"917200, 135690, 124710, 112350, 713950, 173260, 124760, 716220, 720620, 134990, 173350, 143880, 162160, 162990, 121340, 168800, 726450, 126750, 131231, 124620, 129830, 163310, 128560, 158450, 128880, 722650, 133870, 128610, 705440, 161930, 917160, 712640, 158680, 124540, 122860, 124790, 120170, 168620"
291,"The ruler and the ruled","",0,1,"",290.0,"123600, 162630, 724200, 163390, 162620, 723540, 726450, 131231, 169940, 128880, 128550, 140540, 133241"
292,Judiciary,"",0,1,"",290.0,"724200, 162990, 714230, 169940, 714361, 714100, 123740"
293,Claim,"",0,1,"",290.0,"140031, 162990, 714282, 714100"
294,Reconciliation,"",0,1,"",290.0,"716830, 123740, 916090"
295,Witnesses,"",0,1,"",290.0,"724610, 126100"
296,"Hudud (Punishment)","",0,1,"",290.0,124710
297,"Felonies and Blood-money","",0,1,"",290.0,"159770, 722500, 714460, 170600, 128880, 723640, 134800"
298,"Jihad (Struggling)","",0,1,"",290.0,"137520, 176350, 170390, 157220, 157340, 139670, 717780, 717630, 138700, 111360, 130060, 137910, 135850, 168720, 146980, 139650, 717540, 136560, 139030, 140031, 138220, 144120, 139860, 717770, 137670, 138430, 717750, 112382, 124050, 140530, 169880, 168510, 118090, 705670, 716921, 717690, 100310, 137400, 147300, 100360, 136640, 710310, 169150, 168280, 717530, 158230, 139980, 168800, 137250, 170600, 139400, 135880, 715496, 168560, 170780, 717910, 139530, 162050, 714820, 179250, 159870, 137140, 170640, 912090, 137430, 138610, 918710, 132390, 138690, 716490, 128420, 716650, 132760, 716300, 719300, 183020, 137640, 161930, 155220, 137680, 169660, 105260, 912110, 717660, 169370, 138760, 124540, 128550, 169280, 133550, 170200, 169920, 916090, 716750, 136920, 136330, 170380, 136580, 156040, 168620, 169770, 912410"
299,Covenants,"",0,1,"",290.0,"179100, 714640, 716820, 164850"
300,"Rulings of the People of Dhimma","",0,1,"",290.0,170390
383,"Noble manners and acts","",0,1,"",382.0,"101730, 174890, 186570, 175440, 175290, 174830, 153740, 730660, 729940, 720520, 729090, 172500, 134610, 729990, 122710, 701730, 169180, 904840, 712060, 173260, 728190, 153550, 710200, 906970, 909090, 916990, 134180, 124050, 148651, 730320, 150640, 720830, 904770, 900280, 156010, 173350, 173730, 729430, 173780, 172650, 151250, 730600, 119860, 111600, 721450, 725860, 182260, 148630, 178680, 710760, 713870, 124860, 721350, 173470, 173890, 711900, 730900, 729250, 720740, 175160, 721470, 724150, 143760, 705070, 730490, 719200, 145390, 724930, 123290, 729680, 724920, 173000, 154430, 123670, 160430, 724681, 725550, 712030, 714060, 155550, 721440, 729520, 710190, 124880, 720730, 726460, 148800, 730140, 725060, 722720, 919250, 730880, 902300, 111470"
384,"Unethical behavior and acts","",0,1,"",382.0,"720040, 171610, 186570, 160170, 149890, 730290, 724130, 174830, 164100, 712060, 906970, 172770, 904850, 719940, 720620, 713510, 160160, 147460, 904730, 164080, 730320, 720960, 904770, 900280, 151290, 710890, 720180, 721450, 125360, 174300, 178680, 721350, 721040, 712010, 157130, 711900, 151640, 151500, 721130, 730030, 721050, 716960, 146840, 151530, 123290, 729680, 111820, 160430, 712030, 714060, 705840, 130370"
385,Etiquette,"",0,1,"",382.0,"174890, 160170, 175440, 175290, 153740, 729940, 729090, 729990, 725141, 900300, 904840, 909090, 904850, 719940, 160160, 904730, 164080, 100940, 150630, 150640, 719250, 915350, 904770, 900280, 717690, 173350, 173730, 729430, 173780, 721070, 108070, 119860, 710760, 131231, 730900, 729250, 729860, 910820, 705070, 730490, 719200, 724930, 105260, 729680, 154430, 123670, 160430, 729520, 730140, 725060, 155610, 126100"
386,"Ar-Riqaq (soft-hearted)","",0,1,"",382.0,"101730, 157500, 720520, 172500, 122710, 710200, 726480, 713510, 111690, 156010, 172650, 148630, 713870, 721040, 721470, 724150, 155550, 710190, 720480, 148800, 722720"
446,"The Beginning of Creation","",0,1,"",445.0,""
447,"The Former Nations","",0,1,"",445.0,"171900, 172500, 142190, 114010, 134810, 121920, 105560"
448,"Pre-lslamic Period of Ignorance","",0,1,"",445.0,"147040, 134610, 134990, 139980, 135010, 134800"
449,"Biography of the Prophet ﷺ","",0,1,"",445.0,"131700, 138490, 137910, 137110, 111301, 136560, 139030, 138220, 110810, 161200, 139860, 137960, 140530, 717830, 124820, 169330, 182790, 179610, 134990, 137400, 181160, 710310, 132150, 111600, 139530, 148630, 137140, 137430, 156840, 173890, 140730, 918710, 128910, 128560, 146560, 142740, 101040, 716340, 128160, 103730, 130160, 122130, 119840, 169280, 131310, 112760, 164850, 182010, 136330, 140540, 131650, 139580"
450,"The period of rule of Khulafa-e-Rashideen","",0,1,"",445.0,""
451,"Caliphate of Abdullah bin al-Zubair","",0,1,"",445.0,""
452,"Caliphate of Muawiyah bin Abi Sufyan","",0,1,"",445.0,""
453,"Caliphate of Yazid bin Muawiyah","",0,1,"",445.0,""
454,"Caliphate of Abd al-Malik ibn Marwan","",0,1,"",445.0,""
455,Virtues,"",0,1,"",445.0,"171900, 730660, 174700, 142190, 904570, 161200, 137960, 148540, 134180, 148651, 720830, 123270, 111600, 182260, 139530, 137140, 173470, 716340, 133810, 172160, 173000, 130160, 183100, 725550, 131310, 721440, 720730, 726460, 730880"
456,"Caliphate of the Banu Abbas","",0,1,"",445.0,""
457,"Faults and Misfortunes","",0,1,"",445.0,174700
517,"The virtue of knowledge and the scholars","",0,1,"",516.0,"100680, 112382, 728740, 132150, 914550, 100720"
518,"Etiquette of the scholar and the seeker of knowledge","",0,1,"",516.0,"100680, 112382, 728740, 132150, 101150"
519,"The writing of knowledge","",0,1,"",516.0,""
520,Ijtihad,"",0,1,"",516.0,""
521,"The disappearance of the knowledge","",0,1,"",516.0,""
522,"Sharee'ah knowledge (Islamic knowledge)","",0,1,"",516.0,"728520, 161440, 109250, 186431, 101190"
523,"The fallacy of knowledge","",0,1,"",516.0,728620
524,"Reprehensible knowledge","",0,1,"",516.0,""
525,"Professions and industries","",0,1,"",516.0,"119900, 121420, 120180, 122630"
526,"Medicine and medical treatments","",0,1,"",516.0,"918390, 137110, 120180, 150540, 718580, 721871, 140690, 154550, 128160, 724681, 169280, 721710, 140720, 130250, 120170"
527,"Mathematics and Astronomy","",0,1,"",516.0,""
528,"Knowledge of history","",0,1,"",516.0,""
529,"Knowledge of genealogy","",0,1,"",516.0,""
530,"The dream","",0,1,"",516.0,"161130, 724520, 161010, 724390, 133230, 130080, 161050, 161320, 161280, 724510"
531,Nature,"",0,1,"",516.0,""
532,Biology,"",0,1,"",516.0,""
533,"Learning languages","",0,1,"",516.0,729270
534,"Learn to write","",0,1,"",516.0,""
535,"Scientific miracles in the Sunnah of the Prophet ﷺ","",0,1,"",516.0,182010
536,"Prophet's examples","",0,1,"",516.0,"105570, 142190, 181651, 133230"
16,"The time of the revelation of the Qur’an","",0,1,"",2.0,""
17,"The duration of the revelation of the Qur’an","",0,1,"",2.0,""
18,"The first thing that was revealed in the Qur’an","",0,1,"",2.0,""
19,"The end of what was revealed in the Qur’an","",0,1,"",2.0,""
20,"The Qur'an was revealed through Jibril","",0,1,"",2.0,""
21,"Jibril used to present the Qur'an to the Prophet (saws)","",0,1,"",2.0,""
22,"What was revealed from the Quran agrees with the opinion of Omar bin Al-Khattab","",0,1,"",2.0,""
23,"What was revealed from the Quran in Mecca","",0,1,"",2.0,""
24,"What was revealed from the Quran in Medina","",0,1,"",2.0,""
25,"What was revealed from the Qur’an during the farewell pilgrimage","",0,1,"",2.0,""
26,"What was revealed from the Quran in the summer","",0,1,"",2.0,""
27,"What was revealed from the Quran in the day","",0,1,"",2.0,""
28,"What was revealed from the Quran at night","",0,1,"",2.0,""
29,"What was revealed from the Quran in travel","",0,1,"",2.0,""
30,"The revelation of the Qur’an in seven styles","",0,1,"",2.0,""
31,"The revelation of the Qur'an in the language of Quraish","",0,1,"",2.0,""
32,"The virtue of the Qur’an","",0,1,"",3.0,""
33,"The virtue of reading Qur’an","",0,1,"",3.0,""
34,"The Qur'an is the protector of misguidance","",0,1,"",3.0,""
35,"The virtue of memorizing the Qur’an","",0,1,"",3.0,""
36,"Learn Quran","",0,1,"",3.0,""
37,"The virtue of learning the Qur’an","",0,1,"",3.0,""
38,"The virtue of teaching the Qur’an","",0,1,"",3.0,""
39,"Good deeds according to the Qur'an","",0,1,"",3.0,""
40,"Responding to the reading of the Qur'an on the people of virtue","",0,1,"",3.0,""
41,"The Qur'an is the best hadith","",0,1,"",3.0,""
42,"The Qur’an is proof either for the servant or against him","",0,1,"",3.0,""
43,"The Quran is the word of Allah","",0,1,"",3.0,""
44,"The Qur'an has a higher status than the previous heavenly books","",0,1,"",3.0,""
45," This Qur'an is the banquet of Allah","",0,1,"",3.0,""
46,"Advised in the light of the Qur'an","",0,1,"",3.0,""
47,"The virtue of meeting over reciting and studying the Qur'an","",0,1,"",3.0,""
48,"Marriage by teaching The Qur'an to the wife","",0,1,"",3.0,""
49,"Holding on to the Qur'an","",0,1,"",3.0,""
50,"The virtues of reading the Qur'an","",0,1,"",3.0,""
51,"Virtues of surahs and verses","",0,1,"",3.0,""
52,"Qari of the Companions (﵁)","",0,1,"",4.0,""
53,"Recitation of the Companions (﵁)","",0,1,"",4.0,""
54,"Recitation of the surahs of the Qur'an","",0,1,"",4.0,""
55,"Interpreting verses through verses","",0,1,"",5.0,""
56,"Interpreting the Quran through logic","",0,1,"",5.0,""
57,"Interpreting of the Qur'an without knowledge","",0,1,"",5.0,""
58,"Interpretation of the surahs of the Qur'an ","",0,1,"",5.0,""
59,"The command to read the Quran","",0,1,"",6.0,""
60,"Increase the recitation of the Quran","",0,1,"",6.0,""
61,"Recitation of the Qur'an by the Prophet (ﷺ)","",0,1,"",6.0,""
62,"Etiquette of reading the Quran","",0,1,"",6.0,""
63,"How the Recitation of the Qur'an is prohibited","",0,1,"",6.0,""
64,"Provisions related to reading the Qur'an","",0,1,"",6.0,""
65,"The virtue of memorizing the Qur’an","",0,1,"",7.0,""
66,"Keep refreshing the knowledge of the Quran","",0,1,"",7.0,""
67,"Forgetting the Quran","",0,1,"",7.0,""
68,"Prayer for memorizing the Quran","",0,1,"",7.0,""
69,"Etiquette of the memorizer of the Quran","",0,1,"",7.0,""
70,"Hafez Al-Qur’an from Among the Companions (﵁)","",0,1,"",7.0,""
71,"It is forbidden to say that I forgot this and this ayah","",0,1,"",7.0,""
72,"The Book of Revelation","",0,1,"",7.0,""
73,"The Qur'an was written in manuscripts","",0,1,"",8.0,""
74,"The Quran was written on the parchments, leaf stalks of date palms, and such things.","",0,1,"",8.0,""
75,"Compilation of the Quran by Abu Bakr (﵁)","",0,1,"",8.0,""
76,"Compilation of the Quran by Umar (﵁)","",0,1,"",8.0,""
77,"Uthman (﵁) gathered the people on the one Mushaf","",0,1,"",8.0,""
78,"The Part of the Quran","",0,1,"",9.0,""
79,"Short Suras of the Quran","",0,1,"",9.0,""
80,"Verses from the Quran whose meaning is clear","",0,1,"",9.0,""
81,"The arrangement of the surahs of the Quran","",0,1,"",10.0,""
82,"The arrangement of the verses of the Quran","",0,1,"",10.0,""
83,"It is permissible to say such and such a Sura","",0,1,"",11.0,""
84,"Another name for Surah Fatiha is Ummul Quran","",0,1,"",11.0,""
85,"Another name for Surah Fatiha is Ummul Kitab","",0,1,"",11.0,""
86,"Another name for Surah Fatiha is Quranil Azim","",0,1,"",11.0,""
87,"Another name for Surah Al-Hashr is Surah Al-Nadir","",0,1,"",11.0,""
88,"Another name for Surah Al-Isra is Surah Bani Israil ","",0,1,"",11.0,""
89,"Another name for Surah At-Tawbah is Surah Fadiha","",0,1,"",11.0,""
90,"Another name for Surah At-Tawbah is Surah Bara'ah","",0,1,"",11.0,""
91,"Another name for Surah Al-Anfal is Surah badr","",0,1,"",11.0,""
92,"The verse of choice","",0,1,"",12.0,""
93,"The verses of the curse (to couple)","",0,1,"",12.0,""
94,"The verse of hijab","",0,1,"",12.0,""
95,"The verse of inheritance","",0,1,"",12.0,""
96,"The verse of Kalala","",0,1,"",12.0,""
97,"The verse of the Summer season","",0,1,"",12.0,""
98,"The verse of the obligations","",0,1,"",12.0,""
99,"The verse of Tayammum","",0,1,"",12.0,""
100,"The story of Harut and Marut","",0,1,"",13.0,""
101,"The story of the son of Adam (﵇)","",0,1,"",13.0,""
102,"The story of Ma'idah (Heaven food)","",0,1,"",13.0,""
103,"The Story of the people of the Ditch","",0,1,"",13.0,""
104,"Verses that are entirely clear (Muhkam) in the Quran","",0,1,"",14.0,""
105,"Verses that are not entirely clear (Mutashaabih) in the Quran","",0,1,"",14.0,""
106,"Evidence of abrogation in the Quran","",0,1,"",15.0,""
107,"Abrogations from the Quran","",0,1,"",15.0,""
108,"Types of the abrogation in the Quran","",0,1,"",15.0,""
109,"The abrogation in the surahs of the Quran","",0,1,"",15.0,""
117,Islam,"",0,1,"",111.0,""
118,Iman,"",0,1,"",111.0,""
119,"Kufr (Disbelief)","",0,1,"",112.0,""
120,"Shirk (Associating partners with Allah)","",0,1,"",112.0,""
121,Hypocrisy,"",0,1,"",112.0,""
122,"Tidah (Innovation)","",0,1,"",112.0,""
123,Magic,"",0,1,"",112.0,""
124,"Photography (Making Pictures)","",0,1,"",112.0,""
133,"Najasah (Impurity)","",0,1,"",126.0,""
134,"Take care of the instruments of purity","",0,1,"",126.0,""
135,"The Water (of purification)","",0,1,"",126.0,""
136,"The Pots (of purification)","",0,1,"",126.0,""
137,"Relieving oneself (Defecating)","",0,1,"",126.0,""
138,"Menstruation, postpartum bleeding and istihaadah","",0,1,"",126.0,""
139,Wudu,"",0,1,"",126.0,""
140,"Masah (Wipe)","",0,1,"",126.0,""
141,"Bathing (Ghusl)","",0,1,"",126.0,""
142,Tayammum,"",0,1,"",126.0,""
143,"Sunan al-fitrah","",0,1,"",126.0,""
144,"Obligatory prayer","",0,1,"",127.0,""
145,"What has been related about the virtues of prayer","",0,1,"",127.0,""
146,"Adhan and Iqamah","",0,1,"",127.0,""
147,"Times of the Prayer","",0,1,"",127.0,""
148,"Conditions of the Validity of Prayer","",0,1,"",127.0,""
149,"How To Pray Salah","",0,1,"",127.0,""
150,"The Pillars and Obligatory Parts of Prayer","",0,1,"",127.0,""
151,"Forbidden Prayer Times","",0,1,"",127.0,""
152,"Sunnah of the prayer","",0,1,"",127.0,""
153,"Permissible acts in prayer","",0,1,"",127.0,""
154,"Detestable acts in prayer","",0,1,"",127.0,""
155,"The acts that invalidate the prayer","",0,1,"",127.0,""
156,"Continuing prayer after interruption","",0,1,"",127.0,""
157,"Those whose prayers will not be accepted","",0,1,"",127.0,""
158,"Rulings on prayer","",0,1,"",127.0,""
159,"Making Up Missed Prayers","",0,1,"",127.0,""
160,"Shortening prayers while traveling","",0,1,"",127.0,""
161,"Combining The Two Prayers","",0,1,"",127.0,""
162,"Sahw (forgetfulness) in prayer","",0,1,"",127.0,""
163,"Salat al-jama'ah (Congregational Prayer)","",0,1,"",127.0,""
164,"Jumu’ah prayer","",0,1,"",127.0,""
165,"Eid Prayers","",0,1,"",127.0,""
166,"Nafl (voluntary/Optional) prayer","",0,1,"",127.0,""
167,"Qunut (Supplication) in prayer ","",0,1,"",127.0,""
168,"The Fear Prayer","",0,1,"",127.0,""
169,"Salat Al Khusoof And Kusuf (Lunar And Solar Eclipse Prayers)","",0,1,"",127.0,""
170,"Salaat al-istisqa (Prayer for rain)","",0,1,"",127.0,""
171,Funerals,"",0,1,"",127.0,""
172,"Sujud al-Shukr (Prostration of thanksgiving)","",0,1,"",127.0,""
173,"Sujud Tilawa (prostration of recitation)","",0,1,"",127.0,""
174,"Sujud An-Nawazil (Prostrating At Times Of Calamities)","",0,1,"",127.0,""
175,"Mosques and Places of Prayers","",0,1,"",127.0,""
176,"The imposition of zakat","",0,1,"",128.0,""
177,"Who does not pay Zakat","",0,1,"",128.0,""
178,"The wisdom behind the legality of zakat","",0,1,"",128.0,""
179,"The question on Zakat","",0,1,"",128.0,""
180,"Paying Zakat","",0,1,"",128.0,""
181,"Conditions for Zakat","",0,1,"",128.0,""
182,"Collection of Zakat","",0,1,"",128.0,""
183,"Types of zakat","",0,1,"",128.0,""
184,"What is not obligatory for zakat","",0,1,"",128.0,""
185,"Categories of spending Zakat","",0,1,"",128.0,""
186,"Who is not eligible for Zakat?","",0,1,"",128.0,""
187,"The trick to get out of paying Zakat","",0,1,"",128.0,""
188,"Measures and weights of Zakat","",0,1,"",128.0,""
189,"Zakat al-Fitr","",0,1,"",128.0,""
190,"Nafl/optional charity","",0,1,"",128.0,""
191,"Fasting of previous nations","",0,1,"",129.0,""
192,"The virtue of (Siyam) fasting","",0,1,"",129.0,""
193,"The duty of fasting","",0,1,"",129.0,""
194,"The month of Ramadan","",0,1,"",129.0,""
195,"The pillars of fasting","",0,1,"",129.0,""
196,"The Obligation of Fasting","",0,1,"",129.0,""
197,"Mustahabb of Fasting","",0,1,"",129.0,""
198,"Permissible acts of Fasting","",0,1,"",129.0,""
199,"Disliked Matters during Fasting","",0,1,"",129.0,""
200,"The prohibition of fasting","",0,1,"",129.0,""
201,"Reasons for breaking and not breaking the fasting","",0,1,"",129.0,""
202,"Make Up For Missed Fastِing","",0,1,"",129.0,""
203,"al-fitr (fast-breaking)","",0,1,"",129.0,""
204,"Those who are allowed to break their fast","",0,1,"",129.0,""
205,"The expiation for breaking the fast in Ramadan","",0,1,"",129.0,""
206,"Nafl Siyam (optional fasting)","",0,1,"",129.0,""
207,"The questions on Fasting","",0,1,"",129.0,""
208,"i‘tikaaf","",0,1,"",129.0,""
209,Hajj,"",0,1,"",130.0,""
210,Umrah,"",0,1,"",130.0,""
211,"What has been related about the virtue of Dua","",0,1,"",131.0,""
212,"The recommended duas","",0,1,"",131.0,""
213,"Dua of the Prophet ﷺ","",0,1,"",131.0,""
214,"Dua of the prophet ﷺ for his Nation","",0,1,"",131.0,""
215,"Dua of the prophet ﷺ for Muslims","",0,1,"",131.0,""
216,"Dua of the prophet ﷺ for his Companions (﵁)","",0,1,"",131.0,""
217,"Dua when affected by magic","",0,1,"",131.0,""
218,"Acceptance of the Dua of the Prophet ﷺ","",0,1,"",131.0,""
219,"Dua through the virtues of the Prophet","",0,1,"",131.0,""
220,"Those whose Dua is accepted","",0,1,"",131.0,""
221,"Those whose Dua is not accepted","",0,1,"",131.0,""
222,"Ways to accept Dua","",0,1,"",131.0,""
223,"Times When Dua Is Accepted","",0,1,"",131.0,""
224,"Places Where Dua is Accepted","",0,1,"",131.0,""
225,"The Etiquette of Making Dua","",0,1,"",131.0,""
226,"The prohibitions in the Dua","",0,1,"",131.0,""
227,"Duas From the Quran","",0,1,"",131.0,""
