id,arabic,reference,transliteration,english_translation,no_total_count,counter,total
34,"رَبَّنَا وَتَقَبَّلْ دُعَاء",[14:40],"Rabbana wa taqabbal Du'a","O our Lord! And accept my Prayer [14:40]",33,0,0
35,"رَبَّنَا إِنَّكَ رَءُوفٌ رَّحِيمٌ ",[59:10],"Rabbana innaka Ra'ufur Rahim","Our Lord! Thou art indeed Full of Kindness, Most Merciful [59:10]",33,0,0
36,"رَّبِّ زِدْنِي عِلْمًا",[20:114],"Rabbi zidnee AAilman","My Lord, increase me in knowledge",33,0,0
37,"اللّهُـمَّ افْتَـحْ لي أَبْوابَ رَحْمَتـِك"," Sahih Muslim 713 a, Book 6, Hadith 82","Allaahum-maf-Tahlee Abwaaba Rahmatika","O Allah, open the doors of Your Mercy for me ",33,0,0
38,"اَسْتَغْفِرُاللهَ رَبِّىْ مِنْ كُلِّ ذَنْۢبٍ وَّاَتُوْبُ اِلَيْهِ","","Astaġfiru-llāha rabbī min kulli ḏanbin wa atūbu ilayhi","O Allah! I seek Your forgiveness for all the sins and i repent",33,0,0
39,"رَبَّنَا تَقَبَّلْ مِنَّا إِنَّكَ أَنْتَ السَّمِيعُ العَلِيم",[2:127],"Rabbana taqabbal minna innaka antas Sameeaul Aleem","Our Lord! Accept (this service) from us: For Thou art the All-Hearing, the All-knowing",33,0,0
40,"وَهُوَ مَعَكُمْ أَيْنَ مَا كُنتُمْ",[57:4],"Wahuwa maAAakum ayna ma kuntum","And He is with you wherever you are.",33,0,0
41,"اللّهُـمَّ إِنّـي أَسْأَلُكَ مِـنْ فَضْـلِك","Sahih Muslim 713 a, Book 6, Hadith 82","Allaahum-ma In-nee As`aluka Min Fadhlika","O Allaah, I seek of You Your Grace",33,0,0
42,"وَوَجَدَكَ ضَالًّا فَهَدَىٰ",[93:7],"Wawajadaka dallan fahada","And He found you lost and guided [you],",33,0,0
43,"يَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ",[1:5],"Iyyaka naAAbudu waiyyaka nastaAAeenu","It is You we worship and You we ask for help.",33,0,0
44,"رَبَّنَا أَنزِلْ عَلَيْنَا مَائِدَةً مِّنَ السَّمَاءِ تَكُونُ لَنَا عِيدًا لِّأَوَّلِنَا وَآخِرِنَا وَآيَةً مِّنكَ ۖ وَارْزُقْنَا وَأَنتَ خَيْرُ الرَّازِقِينَ",[5:114],"Rabbana anzil AAalayna maidatan mina alssamai takoonu lana AAeedan liawwalina waakhirina waayatan minka waorzuqna waanta khayru alrraziqeena","O Allah, our Lord, send down to us a table [spread with food] from the heaven to be for us a festival for the first of us and the last of us and a sign from You. And provide for us, and You are the best of providers",33,0,0
45,"رَبَّنَا وَاجْعَلْنَا مُسْلِمَيْنِ لَكَ وَمِن ذُرِّيَّتِنَا أُمَّةً مُّسْلِمَةً لَّكَ وَأَرِنَا مَنَاسِكَنَا وَتُبْ عَلَيْنَآ إِنَّكَ أَنتَ التَّوَّابُ الرَّحِيمُ",[2:128],"Rabbana wa-j'alna Muslimayni laka wa min Dhurriyatina 'Ummatan Muslimatan laka wa 'Arina Manasikana wa tub 'alayna 'innaka 'antat-Tawwabu-Raheem","Our Lord! Make of us Muslims, bowing to Thy (Will), and of our progeny a people Muslim, bowing to Thy (will); and show us our place for the celebration of (due) rites; and turn unto us (in Mercy); for Thou art the Oft-Returning, Most Merciful",33,0,0
46,"رَبَّنَا لاَ تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً إِنَّكَ أَنتَ الْوَهَّابُ",[3:8],"Rabbana la tuzigh quloobana ba'da idh hadaytana wa hab lana milladunka rahmah innaka antal Wahhab","Our Lord! (they say), Let not our hearts deviate now after Thou hast guided us, but grant us mercy from Thine own Presence; for Thou art the Grantor of bounties without measure",33,0,0
47,"رَبَّنَا ظَلَمْنَا أَنفُسَنَا وَإِن لَّمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ",[7:23],"Rabbana zalamna anfusina wa il lam taghfir lana wa tarhamna lana kunan minal-khasireen","Our Lord! We have wronged our own souls: If thou forgive us not and bestow not upon us Thy Mercy, we shall certainly be lost.",33,0,0
48,"سُبْحَانَ اللّهِ والْحَمْدُللّهِ وَلااِلهَ اِلَّااللّهُ وَاللّه ُاَكْبَر","","SubhanAllah, walHamdulilah, wa La illaha ilAllahu, waAllahu Akbar","Glory to be Allah, All Praise is for Allah, There is No God but Allah, Allah is the Greatest",33,0,0
49,"اَ لْحَمْدُ اللّهِ الَّذِىْ اَطْعَمَنَا وَسَقَاناَ وَجَعَلَناَ مِنَ الْمُسْلِمِيْنَ","Sunan Abi Dawud 3850, Book 28, Hadith 115","Alhumdu lil laahil Lazee At’amana Wa Saqaana Wa Ja’alana Minal Muslimeen","All Praise is due to Allah, who has blessed us with food and drink and made us from amongst the Believers (Muslims)",33,0,0
50,"سُبْحَانَ اللّهِ والْحَمْدُللّهِ وَلا اِلهَ اِلَّا اللّهُ وَاللّهُ اَكْبَرُ وَلاحَوْلَ وَلا قُوَّةَ اِلَّا بِاللّهِ","Sunan an-Nasa'i 924, Book 11, Hadith 49","SubhanAllah, walHamdulilah, wa La illaha ilAllahu, waAllahu Akbar, wa la Hawla wa la quwwata illa billah","Glory be to Allah, All Praise is for Allah, There is No God but Allah, Allah is the Greatest, There is no might or any power Except with Allah The good deeds which endure are (the above)",33,0,0
51,"لَا إِلَهَ إِلَّا اللهُ  وَحْدَهُ لَا شَرِيكَ لَهُ  لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ  يُحْيِي وَيُمِيتُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ","Sunan an-Nasa'i 2985, Book 24, Hadith 0","Laa ilaaha illallaah wahdahuu laa shareeka lahu, lahu-l-mulk wa lahu-l-hamd wa huwa â€˜alaa kulli shaiâ€™in qadeer","None has the right to be worshipped but Allah, the Alone Who has no partners, to Him belongs Dominion and to Him belong all the Praises, and He has power over all things",33,0,0
52,"لآَ اِلَهَ اِلاَّ اللهُ الْحَلِيْمُ الْحَكِيْمُ لآَ اِلَهَ اِلاَّ اللهُ رَبُّ الْعَرْشِ الْعَظِيْم لآَ اِلَهَ اِلاَّ اللهُ رَبُّ السَّمَاوَاتِ وَاْلاَرْضِ وَرَبُّ الْعَرْشِ الْكَرِيْمِ","Sahih Muslim 2730 a, Book 48, Hadith 113","Laa ilaaha illallaah wahdahuu laa shareeka lahu, lahu-l-mulk wa lahu-l-hamd wa huwa ‘alaa kulli shai’in qadeer","There is none worthy of worship except Alâ€™laah, The Fore-bearing, The All Wise. There is none worthy of worship except Alâ€™laah, The Lord of the Exalted Throne. There is none worthy of worship except Alâ€™laah, The Lord of the Skies and The Lord of the Earth and the Lord of the distinguished Throne",33,0,0
53,"آمَنَ الرَّسُولُ بِمَا أُنزِلَ إِلَيْهِ مِن رَّبِّهِ وَالْمُؤْمِنُونَ ۚ كُلٌّ آمَنَ بِاللَّـهِ وَمَلَائِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ لَا نُفَرِّقُ بَيْنَ أَحَدٍ مِّن رُّسُلِهِ ۚ وَقَالُوا سَمِعْنَا وَأَطَعْنَا ۖ غُفْرَانَكَ رَبَّنَا وَإِلَيْكَ الْمَصِيرُ",[2:285],"Amana alrrasoolu bima onzila ilayhi min rabbihi waalmuminoona kullun amana biAllahi wamalaikatihi wakutubihi warusulihi la nufarriqu bayna ahadin min rusulihi waqaloo samiAAna waataAAna ghufranaka rabbana wailayka almaseeru","The Messenger has believed in what was revealed to him from his Lord, and [so have] the believers. All of them have believed in Allah and His angels and His books and His messengers, [saying], ""We make no distinction between any of His messengers."" And they say, ""We hear and we obey. [We seek] Your forgiveness, our Lord, and to You is the [final] destination.""",33,0,0
54,"لَايُكَلِّفُ اللَّـهُ نَفْسًا إِلَّا وُسْعَهَا ۚ لَهَا مَا كَسَبَتْ وَعَلَيْهَا مَا اكْتَسَبَتْ ۗ رَبَّنَا لَا تُؤَاخِذْنَا إِن نَّسِينَا أَوْ أَخْطَأْنَا ۚ رَبَّنَا وَلَا تَحْمِلْ عَلَيْنَا إِصْرًا كَمَا حَمَلْتَهُ عَلَى الَّذِينَ مِن قَبْلِنَا ۚ رَبَّنَا وَلَا تُحَمِّلْنَا مَا لَا طَاقَةَ لَنَا بِهِ ۖوَاعْفُ عَنَّا وَاغْفِرْ لَنَا وَارْحَمْنَا ۚ أَنتَ مَوْلَانَا فَانصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ",[2;286],"La yukallifu Allahu nafsan illa wusAAaha laha ma kasabat waAAalayha ma iktasabat rabbana la tuakhithna in naseena aw akhtana rabbana wala tahmil AAalayna isran kama hamaltahu AAala allatheena min qablina rabbana wala tuhammilna ma la taqata lana bihi waoAAfu AAanna waighfir lana wairhamna anta mawlana faonsurna AAala alqawmi alkafireena","Allah does not charge a soul except [with that within] its capacity. It will have [the consequence of] what [good] it has gained, and it will bear [the consequence of] what [evil] it has earned. ""Our Lord, do not impose blame upon us if we have forgotten or erred. Our Lord, and lay not upon us a burden like that which You laid upon those before us. Our Lord, and burden us not with that which we have no ability to bear. And pardon us; and forgive us; and have mercy upon us. You are our protector, so give us victory over the disbelieving people.""",33,0,0
55,"أَعُوذُ بِاللَّهِ وَقُدْرَتِهِ مِنْ شَرِّ مَا أَجِدُ وَأُحَاذِرُ","Sahih Muslim 2202, Book 39, Hadith 91","A'udhu billahi wa qudratihi min sharri ma ajidu wa ukhdhiru","I seek refuge with Allah and with His Power from the evil that I find and that I fear",33,0,0
56,"اللَّهُمَّ اِنَّا نَجْعَلُكَ فِي نُحُورِهِمْ وَ نَعُوذُبِكَ مِنْ شُرُورِهِمْ","Ahmad and Abu Dawud, Book 12, Hadith 43","Allahumma inna naj'aluka fi nuhuurihim wa na'udhubika min shuruurihim","O Allah! We put You in front of them, and we seek refuge in You from their evils",33,0,0
57,"اللَّهُمَّ أَنْتَ عَضُدِي وَنَصِيرِي بِكَ أَحُولُ وَبِكَ أَصُولُ وَبِكَ أُقَاتِلُ","Sunan Abi Dawud 2632, Book 15, Hadith 156","Allâhumma anta âdudî, wa anta nasîrî. Bika ajûlu, wa bika assûlu, wa bika uqâtil.","O Allah,Thou art my aider and helper; by Thee I move, by Thee I attack, and by Thee I fight.",33,0,0
58,"اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ لَّهُ مَا فِي السَّمَوَاتِ وَمَا فِي الأَرْضِ مَن ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلاَ يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلاَّ بِمَا شَاء وَسِعَ كُرْسِيُّهُ السَّمَوَاتِ وَالأَرْضَ وَلاَ يَؤُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ",[2:255],"Allāhu lā ilāha illā huwa l-ḥayyu l-qayyūm lā taʾḫuḏuhu sinätu-n wa lā nawmu-n lahu mā fī s-samawāti wa mā fī l-arḍ man ḏā llaḏī yašfaʿu ʿindahu illā bi iḏnihi yaʿlamu mā bayna aydīhim wa mā ḫalfahum walā yuḥīṭūna bi šayʾi-n min ʿilmihi illā bi mā šāʾa wasiʿa kursīyuhu s-samawāti wa l-arḍa walā yaʾūduhu ḥifẓuhumā wa huwa l-ʿaliyyu l-ʿaẓīm.","Allah! There is no deity save Him, the Alive, the Eternal. Neither slumber nor sleep overtaketh Him. Unto Him belongeth whatsoever is in the heavens and whatsoever is in the earth. Who is he that intercedeth with Him save by His leave? He knoweth that which is in front of them and that which is behind them, while they encompass nothing of His knowledge save what He will. His throne includeth the heavens and the earth, and He is never weary of preserving them. He is the Sublime, the Tremendous.",33,0,0
59,"
اَللّٰھُمَّ صَلِّ عَلٰی مُحَمَّدٍ وَّعَلٰٓی اٰلِ مُحَمَّدٍ کَمَا صَلَّیْتَ عَلٰٓی اِبْرَاھِیْمَ وَعَلٰٓی اٰلِ اِبْرَاھِیْمَ اِنَّکَ حَمِیْدٌ مَّجِیْدٌ اَللّٰھُمَّ بَارِکْ عَلٰی مُحَمَّدٍ وَّعَلٰٓی اٰلِ مُحَمَّدٍ کَمَا بَارَکْتَ عَلٰٓی اِبْرَاھِیْمَ وَعَلٰٓی اٰلِ اِبْرَاھِیْمَ اِنَّکَ حَمِیْدٌ مَّجِیْدٌ","","Allahumma salli `ala Muhammadin wa `ala ali Muhammadin kama sallaita `ala Ibrahima wa `ala ali Ibrahima Innaka hameedun Majid Allahumma barik `ala Muhammadin wa `ala ali Muhammadin kama barakta `ala Ibrahima wa `ala ali Ibrahima Innaka hamidun Majeed.","O Allah let Your Peace come upon Muhammad and the family of Muhammad, as you have brought peace to Ibrahim and his family. Truly, You are Praiseworthy and Glorious. Allah, bless Muhammad and the family of Muhammad, as you have blessed Ibrahim and his family. Truly, You are Praiseworthy and Glorious.",33,0,0
