category,favourite,audio_name,dua_transliteration,english_translation,dua_id,dua_title,dua_arabic,additional_info,counter,reference,urdu_translation,id
Prayer,no,dua_12," astaghfirullaah, astaghfirullaah, astaghfirullaah aallahumma antas-salaamu, wa minkas-salaamu, tabaarakta yaa dhal-jalaali wal-ikraam ","I ask Allah for forgiveness, I ask Allah for forgiveness, I ask Allah for forgiveness. O Allah! You are the One free of defects, and perfection is from You. Blessed are You, Possessor of Majesty and Honor.",12,"After Prayer","أَسْتَغْفِرُ اللَّهَ ، أَسْتَغْفِرُ اللَّهَ ، أَسْتَغْفِرُ اللَّهَ اَللَّهُمَّ أَنْتَ السَّلامُ ، وَمِنْكَ السَّلامُ ، تَبَارَكْتَ يَا ذَا الْجَلالِ وَالإِكْرَام 
","Thauban reported:When the Messenger of Allah (May peace be upon him) finished his prayer. he begged forgiveness three times and said: O Allah! Thou art Peace, and peace comes from Thee; Blessed art Thou, O Possessor of Glory and Honour. Walid reported: I said to Auza'i: How Is the seeking of forgiveness? He replied: You should say:, I beg forgiveness from Allah, 1 beg forgiveness from Allah."" ",0,"""Reference 1: Sahih Muslim 591
In-book reference: Book 5, Hadith 171
English translation: Book 4, Hadith 1226

Reference 2: Jami` at-Tirmidhi 298
In-book reference: Book 2, Hadith 150
English translation: Vol. 1, Book 2, Hadith 298

"""," میں بخشش طلب کرتا ہوں اللہ سے ، میں بخشش طلب کرتا ہوں اللہ سے ، میں بخشش طلب کرتا ہوں اللہ سے ، اے اللہ تو ہی سلام ہے ، تیری ہی طرف سے سلام ہے ، تو بڑی برکت والا ہے ، اے جلال اور بزرگی والے",116
Prayer,no,dua_14,"allaahum-maf tah lee abwaaba rahmatik","O Allah, open before me the doors of Your mercy.",14,"Entering The Mosque","ٱللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ","""Abu Usaid reported that the Messenger of Allah (May peace be upon him) said:
When any one of you enters the mosque, he should say:"""" O Allah! open for me the doors of Thy mercy""""""",0,"""Reference 1: Sahih Muslim 713 a
In-book reference: Book 6, Hadith 82
English translation: Book 4, Hadith 1538

Reference 2: Sunan Ibn Majah 773
In-book reference: Book 4, Hadith 39
English translation: Vol. 1, Book 4, Hadith 773
""","سلامتی ہو اللہ کے رسولؐ پر، اے اللہ میرے لئے رحمت کے دروازے کھول دے",117
Prayer,no,dua_16,"subhaan-al-malik-il-quddoos subhaan-al-malik-il-quddoos subhaan-al-malik-il-quddoos, rabbil-malaa’ikati war-rooh ","How far from imperfections The King, The Holy One is. How far from imperfections The King, The Holy One is (on the third time raise voice, elongate it and add) How far from imperfections The King, The Holy One is. Lord of the angels and the Rooh (i.e. Jibreel).",16,"After Witr Prayer","سُبْحَانَ الْمَلِكِ الْقُدُّوسِ سُبْحَانَ الْمَلِكِ الْقُدُّوس سُبْحَانَ الْمَلِكِ الْقُدُّوس ، رَبِّ الْمَلائِكَةِ وَالرُّوحِ ","""Narrated Ubayy ibn Ka'b:
When the Messenger of Allah (May peace be upon him) offered salutation in the witr prayer, he said: Glorify be to the king most holy.""",0,"""Sunan Abi Dawud 1430
In-book reference: Book 8, Hadith 15
English translation: Book 8, Hadith 1425

Reference: Sunan an-Nasa'i 1699
In-book reference: Book 20, Hadith 102
English translation: Vol. 2, Book 20, Hadith 1700 ""","پاک ہے وہ بادشاہ مقدس ہے۔ پاک ہے وہ بادشاہ مقدس ہے۔ پاک ہے وہ بادشاہ مقدس ہے۔ جو فرشتوں اور جبریل کا رب ہے۔",118
Funeral/Grave,no,dua_18,"laa ilaaha ill-allaah","There is no god but Allah",18,"Encourage The Dying Person To Say","لَا إِلَهَ إِلَّا اللهُ","""Abu Sa'id al-Khudri reported Allah's Messenger  (May peace be upon him) as saying:
Exhort to recite"""" There is no god but Allah"""" to those of you who are dying.""",0,"""Reference 1: Sahih Muslim 916 a
In-book reference: Book 11, Hadith 1
English translation: Book 4, Hadith 1996

Reference 2: Sunan Abi Dawud 3117
In-book reference: Book 21, Hadith 29
English translation: Book 20, Hadith 3111
""","اللہ کے سوا کوئی معبود نہیں",94
Family,no,dua_19,"Rabbe laa tazarnee fardawn wa anta khayrul waareseen","O My Lord! Leave me not alone (without an issue) though Thou art the Best of heirs!",19,"For getting a child","رَبِّ لاَ تَذَرْنِىْ فَرْدًا وَّ اَنْتَ خَيْرُ الْوَارِثِيْنَ",na,0,"Al Quran Suratul Anbiyaa: 89","اے میرے پروردگار! مجھے تنہا نہ چھوڑ، تو سب سے بہتر وارث ہے",69
Funeral/Grave,no,dua_20,"allahumm-aghfir li [mention the person's name] warfa‛ darajatahu fil-mahdiyyiyn, wakhlufhu fee ‛aqibihi fil-ghaabireen, waghfir lanaa wa lahu yaa rabbal-‛aalameen, wafsah lahu fee qabrihi wa nawwir lahu feeh ","O Allah, forgive [name of the person] and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, o Lord of the worlds. Enlarge for him his grave and shed light upon him in it.",20,"Closing The Eyes Of The Dead","ٱللَّهُمَّ اغْفِرْ لِ [mention the person's name] وَارْفَعْ دَرَجَتَهُ فِي الْمَهْدِيِّينَ ، وَاخْلُفْهُ فِي عَقِبِهِ فِي الْغَابِرِينَ ، وَاغْفِرْ لَنَا وَلَهُ يَا رَبَّ الْعَالَمِينَ ، وَافْسَحْ لَهُ فِي قَبْرِهِ وَنَوِّرْ لَهُ فِيهِ ","""Umm Salama reported:
The Messenger of Allah (may peace be upon came to Abu Salama (as he died). His eyes were fixedly open. He closed them, and then said: When the soul is taken away the sight follows it. Some of the people of his family wept and wailed. So he said: Do not supplicate for yourselves anything but good, for angels say"""" Amen"""" to what you say. He then said: O Allah, forgive Abu Salama, raise his degree among those who are rightly guided, grant him a successor in his descendants who remain. Forgive us and him, O Lord of the Universe, and make his grave spacious, and grant him light in it.""",0,"""Reference 1: Sahih Muslim 920 a
In-book reference: Book 11, Hadith 8
English translation: Book 4, Hadith 2003
""","اے اللہ (مرنے والے کا نام) کو معاف فرما اور ہدایت یافتہ لوگوں میں اس کا درجہ بلند فرما اور باقی لوگوں میں سے اس کا جانشین مقرر فرما۔ یا رب العامین ہمیں اوراس کو بخش دے اور اس کی قبر میں اس کے ئے کشادگی فرما اور اس میں اس کے لیے روشنی فرما۔",95
Family,no,dua_21,"wallatee ahsanat farjahaa fa-nafakhnaa feehaa mir roohenaa wa ja-a’lnaahaa wabnahaaa aayatal lil-a’alameen. inna haazehi ummatokum ummatawn waahedatan, wa ana rabbokum fa’bodoon. wa taqatta-o’o amrahum baynahum, kullun elaynaa raaje-o’on","And (O Our Prophet Mohammed!) remember her (Mary) who guarded her chastity We breathed into her Our Sprit, and We made her and her son a sign unto all peoples. Verily the (Islam) is your group, one group and I am your Lord! Therefore worship ye Me (alone)! But they have rent as under (this) their concern among themselves (into sects), (and yet) unto Us shall all of them return",21,"For safety of pregnancy","وَالَّتِىْٓ اَحْصَنَتْ فَرْجَهَا فَنَفَخْنَا فِيْهَا مِنْ رُّوْحِنَا وَ جَعَلْنَاهَا وَابْنَهَآ اٰيَةً لِّلْعَالَمِيْنَ. اِنَّ هٰذِهٖٓ اُمَّتُكُمْ اُمَّةً وَّاحِدَةً، وَّاَنَا رَبُّكُمْ فَاعْبُدُوْنِ. وَ تَقَطَّعُوْآ اَمْرَهُمْ بَيْنَهُمْ، كُلٌّ اِلَيْنَا رَاجِعُوْنَ","The following Dua is very effective and well experienced for the safety of pregnancy, it should be kept in person by the pregnant lady from the first day of pregnancy up to forty days and after forty days it should be untied. During the ninth month of the pregnancy it should be tied again and after the birth of child the same should be tied to the new born child.",0,"Surah Ambiya (21): Verses 91-93","اور وه پاک دامن بی بی جس نے اپنی عصمت کی حفاﻇت کی ہم نے اس کے اندر روح سے پھونک دی اور خود انہیں اور ان کے لڑکے کو تمام جہان کے لئے نشانی بنا دیا. یہ تمہاری امت ہے جو حقیقت میں ایک ہی امت ہے، اور میں تم سب کا پروردگار ہوں پس تم میری ہی عبادت کرو. مگر لوگوں نےآپس میں اپنے دین میں فرقہ بندیاں کر لیں، سب کے سب ہماری ہی طرف لوٹنے والے ہیں.",70
Family,no,dua_22,"Rabbijalni muqeemassalata wa min zurriatee rabbana wa taqabbal duaa","O my Lord! make me one who establishes regular Prayer, and also (raise such) among my offspring. O our Lord! and accept Thou my prayer.",22,"Your children to keep praying","رَبِّ اجْعَلْنِي مُقِيمَ الصَّلاةِ وَمِنْ ذُرِّيَّتِي رَبَّنَا وَتَقَبَّلْ دُعَاءِ",na,0,"Al Quran Surat Ibraheem: 40","اے میرے پالنے والے! مجھے نماز کا پابند رکھ اور میری اوﻻد سے بھی، اے ہمارے رب میری دعا قبول فرما",71
Funeral/Grave,no,dua_23,"bismillaahi wa ‛alaa sunnati rasoolillaah","In the name of Allah and upon the sunnah of the Messenger of Allah.",23,"Placing The Dead In The Grave","بِسْمِ اللَّهِ وَعَلَى سُنَّةِ رَسُولِ اللَّهِ","""Narrated Abdullah ibn Umar:
When the Prophet  (May peace be upon him) placed the dead in the grave, he said: In the name of Allah, and following the Sunnah of the Messenger of Allah  (May peace be upon him). This is Muslim's version.""",0,"Reference 1: Sunan Abi Dawud 3213
In-book reference: Book 21, Hadith 125
English translation: Book 20, Hadith 3207

""","اللہ کے نام سے اور اللہ کے رسول صلی اللہ علیہ وسلم کی سنت کے مطابق",96
Family,no,dua_24,"innal lazeena aamanoo wa a’melus saalehaate sayaj-a’lo lahomur rahmaano wuddaan.","Verily those who believe and work good deeds the Beneficent (God) will appoint love for them",24,"For love (Wife And Husband)","اِنَّ الَّذِيْنَ اٰمَنُوْا وَ عَمِلُوا الصَّالِحَاتِ سَيَجْعَلُ لَهُمُ الرَّحْمٰنُ وُدًّا",na,0,"Al Quran Surat Maryam: 96","بیشک جو ایمان لائے ہیں اور جنہوں نے شائستہ اعمال کیے ہیں ان کے لیے اللہ رحمٰن محبت پیدا کردے گا",72
Funeral/Grave,no,dua_25,"as-salaamu ‛alaykum ahl-ad-diyaari mi-nal-mu’mineena wal-muslimeena, wa in-naa in shaa’-allaahu bikum laahiqoona, nas’al-ullaaha lanaa wa-lakumul-‛aafiyah","Peace be upon you all, O inhabitants of the dwellings (i.e. the graves), amongst the believers and the Muslims. Indeed we are, Allah willing, soon to follow (to die also), we ask Allah for well-being for us and for you.",25,"When visiting graves","اَلسَّلاَمُ  عَلَيْكُمْ أَهْلَ الدِّيَارِ مِنَ الْمُؤْمِنِينَ وَالْمُسْلِمِينَ ، وَإِنَّا إِنْ شَاءَ اللهُ بِكُمْ لَاحِقُونَ ، نَسْأَلُ اللهَ لَنَا وَلَكُمُ الْعَافِيَةَ ","""Sulaiman b. Buraida narrated on the authority of his father that the Messenger of Allah ( (May peace be upon him)) used to teach them when they went out to the graveyard. One of the narrators used to say this in the narration transmitted on the authority of Abu Bakr:
"""" Peace be upon the inhabitants of the city (i. e. graveyard)."""" In the hadith transmitted by Zuhair (the words are):"""" Peace be upon you, the inhabitants of the city, among the believers, and Muslims, and God willing we shall join you. I beg of Allah peace for us and for you.""",0,"""Reference 1: Sahih Muslim 975
In-book reference: Book 11, Hadith 133
English translation: Book 4, Hadith 2128

""","تم پر سلامتی ہو اے مومنوں اور مسلمانوں کے گھروں والے اور ہم تم سے اللہ کے حکم سے ملنے والے ہیں ہم اپنے اور تمہارے لئےعافیت مانگتے یں۔",97
Family,no,dua_26,"baa-rakal laahu la-ka, wa baa-raka ‛alay-k, wa jama‛a ba-yna-kumaa fee khayr","May Allah bless for you your spouse, and bless you, and may He unite both of you in goodness",26,"Dua for the newly Wed","بَارَكَ اللَّهُ لَكَ وَبَارَكَ عَلَيْكَ وَجَمَعَ بَيْنَكُمَا فِي خَيْرٍ","Narrated AbuHurayrah: When the Prophet (May peace be upon him) congratulated a man on his marriage, he said: May Allah bless for you, and may He bless on you, and combine both of you in good (works)",0,"Sunan Abi Dawud 2130, In-book reference : Book 12, Hadith 85, English translation : Book 11, Hadith 2125","اللہ تعالیٰ تم کو برکت دے اور اس برکت کو قائم و دائم رکھے ، اور تم دونوں کو خیر پر جمع کر دے",73
Protection,no,dua_28,"Allaahumma innee as’aluka khairahaa, wa a’uthu bika min sharrihaa.","O Allah, I ask you for the good of it and seek refuge in You against its evil.O Allah, I ask you for the good of it and seek refuge in You against its evil.",28,"When The Wind Blows","ٱللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا ، وَأَعُوذُ بِكَ مِنْ شَرِّهَا",na,0,"""Sunan Abi Dawud 5097
In-book reference: Book 43, Hadith 325
English reference: Book 42, Hadith 5078""","اے اللہ اس (تیز ہوا) میں سے خیر دے اوراس (تیز ہوا) کے شر سے پناہ  دے ۔ ",119
Rain,no,dua_29,"Allaahumma Sayyiban Naafi‛aa","O Allah, may it be a beneficial rain.",29,"When It Rains","ٱللَّهُمَّ صَيِّبًا نَافِعًا",na,0,"""Reference: Sahih al-Bukhari 1032
In-book reference: Book 15, Hadith 27
English reference: Vol. 2, Book 17, Hadith 142""","اے اللہ ! نفع بخشنے والی بارش برسا",121
Rain,no,dua_30,"Mutirnaa Bi Fadlil-Laahi Wa Rahmatih","We have been given rain by the grace and mercy of Allah",30,"After Rain","مُطِرْنَا بِفَضْلِ اللهِ وَرَحْمَتِهِ",na,0,"""Sahih al-Bukhari 1038
In-book reference: Book 15, Hadith 33
English reference: Vol. 2, Book 17, Hadith 148""","اللہ کے فضل و رحم سے بارش ہوی",122
Rain,no,dua_31,"Allaahumma Hawlanaa Wa laa ‛Alaynaa, Allaahumma ‛Alal-Aakaami Waz-Ziraabi, Wa Butoonil-Awdiyati, Wa Manaabitish-Shajar","O Allah, let the rain fall around us and not upon us, O Allah, (let it fall) on the pastures, hills, valleys and the roots of trees",31,"For Withholding Of Rain","ٱللَّهُمَّ حَوْلَنَا وَلَا عَلَيْنَا ، اللَّهُمَّ عَلَى الآ كَامِ وَالظِّرَابِ ، وَبُطُونِ الأَوْدِيَةِ ، وَمَنَابِتِ الشَّجَرِ",na,0,"""Sahih al-Bukhari 1013
In-book reference: Book 15, Hadith 8
English reference: Vol. 2, Book 17, Hadith 126""","یا اللہ اب ہمارے اردگرد بارش برسا ہم سے اسے روک دے ۔ ٹیلوں ، پہاڑوں ، پہاڑیوں ، وادیوں اور باغوں کو سیراب کر",123
Eat/Drink,no,dua_33,"Bismillaahi wa alaa Barakatillaah.","In the name of Allah and with His blessings.",33,"Before Eating"," بِسْمِ اللَّهِ وَعَلَى بَرَكَةِ اللَّهِ",na,0,""" Ibn Majah No# 3264
In-book reference: Book 29, Hadith 3388
English reference: Vol. 4, Book 29, Hadith 3264""","شروع کرتا ہوں اللہ کے نام پر اور اللہ کی برکت پر",64
Eat/Drink,no,dua_34,"Allaahumma Baarik Lanaa Feehi wa Zidnaa Minh","O Allah, bless it for us and give us more of it.",34,"Drinking Milk","ٱللَّهُمَّ بَارِكْ لَنَا فِيهِ وَزِدْنَا مِنْهُ",na,0,"""Sunan Abi Dawud 3730
In-book reference: Book 27, Hadith 62
English reference: Book 26, Hadith 3721""","اے اللہ ہمیں اس دودھ سے برکت عطا فرما۔ اور اس میں ہمیں زیادتی عطا فرما",65
Eat/Drink,no,dua_35,"Allaahumma baarik lahum feemaa razaqtahum, waghfir lahum war-hamhum.","O Allah, bless them in what You have provided for them, and forgive them and have mercy on them.",35,"Invocation for Host","ٱللَّهُمَّ بَارِكْ لَهُمْ فِيمَا رَزَقْتَهُمْ ، وَاغْفِرْ لَهُمْ وَارْحَمْهُمْ",na,0,"""Sahih Muslim 2042 a
In-book reference: Book 36, Hadith 202
English reference: Book 23, Hadith 5070""","اے اللہ جو تو نے ان کو دیا اس میں برکت عطا فرما اور انہیں بخش دے اور ان پر رحم فرما ",66
Eat/Drink,no,dua_36,"Allaahumma at’im man at’amanee wasqi man saqaanee.","O Allah, feed the one who has fed me and give drink to the one who has given me drink.",36,"For One Who Gives The Drink","ٱللَّهُمَّ أَطْعِمْ مَنْ أَطْعَمَنِي ، وَاسْقِ مَنْ سَقَانِي",na,0,"""Sahih Muslim 2055 a
In-book reference: Book 36, Hadith 236
English reference: Book 23, Hadith 5103""","اے اللہ اسے کھلا جس نے مجھے کھلایا اور اسے پلا جس نے مجھے پلایا",67
Fasting,no,dua_40,"Bismillaahi awwalahu wa aakhirahu.","In the name of Allah, in the beginning and in the end.",40,"When You Forget The Fast Dua"," بِسْمِ اللَّهِ اَوَّلَهُ وَاخِرَهُ",na,0,"""Sunan Abi Dawud 3767
In-book reference: Book 28, Hadith 32
English reference: Book 27, Hadith 3758""","اللہ کے نام سے اس کے شروع اور آخر میں",77
Fasting,no,dua_41,"Dhahab-az-Zama’u, Wabtallat-il-‛Urooqu, Wa Thabat-al-Ajru in Shaa’ Allaah","The thirst is gone, the veins are moistened and the reward is confirmed, if Allah wills.",41,"Breaking The Fast"," ذَهَبَ الظَّمَأُ ، وَابْتَلَّتِ الْعُرُوقُ ، وَثَبَتَ الأَجْرُ إِنْ شَاءَ اللَّهُ",na,0,"""Sunan Abi Dawud 2357
In-book reference: Book 14, Hadith 45
English reference: Book 13, Hadith 2350""","پیاس چلی گئی ہے اور رگیں نم ہیں ، اور ثواب، یقینی ہے اگر اللہ چاہے",78
